,City,Country,Date,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
90,Tura,IN,1553852461,25.52,90.21,83.29,56,4.21,24
91,Spiez,CH,1553852443,46.69,7.68,53.01,67,2.24,0
92,Hermanus,ZA,1553851894,-34.42,19.24,75.99,73,5.01,0
93,Stykkisholmur,IS,1553852468,65.08,-22.73,31.63,100,8.86,8
94,Pahrump,US,1553852136,36.21,-115.98,55.99,32,9.17,90
95,Mayo,CA,1553850000,63.59,-135.9,32.0,82,2.37,20
96,Russell,AR,1553850000,-33.01,-68.8,55.4,93,3.36,0
97,Salinopolis,BR,1553852480,-0.61,-47.36,79.06,100,8.23,44
98,Batouri,CM,1553852482,4.44,14.36,85.09,89,4.5,8
99,Guerrero Negro,MX,1553852487,27.97,-114.04,54.13,100,11.36,0
100,Srivardhan,IN,1553852489,18.03,73.02,94.09,53,7.74,0
101,Cervo,BR,1553852494,-22.19,-46.24,55.39,92,3.31,0
102,Kaohsiung,TW,1553852409,22.62,120.31,80.6,74,11.41,20
103,Mareeba,AU,1553852117,-16.99,145.42,81.0,88,3.31,88
104,Vardo,US,1553852413,39.62,-77.74,53.6,61,2.71,1
105,Sao Joao da Barra,BR,1553850900,-21.64,-41.05,71.6,94,2.24,75
106,Mar del Plata,AR,1553852508,-46.43,-67.52,59.08,46,20.38,12
107,Xaltianguis,MX,1553848860,17.1,-99.71,75.2,88,4.7,20
108,Los Llanos de Aridane,ES,1553852460,28.66,-17.92,66.2,55,1.12,20
109,Barrow,AR,1553852515,-38.31,-60.23,62.95,69,14.27,68
110,Dikson,RU,1553852518,73.51,80.55,22.81,100,13.67,80
111,Sept-Iles,CA,1553850000,50.2,-66.38,33.8,86,10.29,90
112,Jamestown,AU,1553852525,-33.21,138.6,56.29,70,19.64,92
113,Imbituba,BR,1553850000,-28.24,-48.67,68.0,100,2.24,75
114,Panzhihua,CN,1553852525,26.59,101.72,71.01,36,3.49,0
115,Wanaka,NZ,1553852539,-44.7,169.14,41.08,85,1.81,8
116,Longyearbyen,NO,1553849400,78.22,15.63,26.6,68,20.8,75
117,Marsa Matruh,EG,1553852546,31.35,27.25,67.09,46,13.82,0
118,Gambo,NG,1553852548,11.96,9.63,89.86,23,10.13,0
119,Port Elizabeth,US,1553852515,39.31,-74.98,52.0,70,5.82,90
120,Guaruja,BR,1553850009,-23.99,-46.26,64.4,88,8.05,75
121,Kargil,PK,1553852558,34.56,76.13,21.91,93,1.59,88
122,Avarua,CK,1553850000,-21.21,-159.78,77.0,88,9.17,92
123,Gizo,IL,1553852551,31.8,34.94,69.01,52,10.29,75
124,Mahebourg,MU,1553852344,-20.41,57.7,86.0,70,8.05,40
125,Nadym,RU,1553852567,65.53,72.51,36.49,97,8.41,68
126,Santa Cruz,US,1553852432,36.97,-122.03,51.8,81,3.36,90
127,Basudebpur,IN,1553852573,21.14,86.74,87.7,78,15.84,8
128,Mlyniv,UA,1553850637,50.51,25.61,50.0,70,11.18,75
129,Bethel,US,1553849760,60.79,-161.76,28.4,100,5.82,1
130,Columbia,US,1553852409,34.0,-81.03,46.4,93,3.49,1
131,Awbari,LY,1553852585,26.59,12.77,67.63,45,9.35,0
132,Ancud,CL,1553850000,-41.87,-73.83,46.4,100,4.7,90
133,Buzmeyin,TM,1553850000,38.05,58.21,59.0,62,2.24,75
134,Nome,US,1553852568,30.04,-94.42,66.0,93,5.82,40
135,Severo-Kurilsk,RU,1553852595,50.68,156.12,28.03,99,7.63,24
136,Qaqortoq,GL,1553852597,60.72,-46.03,24.97,99,14.16,56
137,Isangel,VU,1553852602,-19.55,169.27,81.76,98,17.13,88
138,Norman Wells,CA,1553850000,65.28,-126.83,37.4,59,8.05,90
139,Margate,AU,1553852595,-43.03,147.26,69.8,43,9.17,40
140,Lata,IN,1553852612,30.78,78.62,62.86,75,1.25,8
141,Fortuna,ES,1553852607,38.18,-1.13,61.0,58,2.24,40
142,Qasigiannguit,GL,1553849400,68.82,-51.19,8.6,60,29.97,24
143,Brzeg Dolny,PL,1553852593,51.27,16.72,55.0,81,10.29,75
144,Porosozero,RU,1553852624,62.72,32.71,44.23,68,11.1,12
145,Lavrentiya,RU,1553852626,65.58,-170.99,27.85,98,12.59,92
146,Tuatapere,NZ,1553852405,-46.13,167.69,51.01,93,1.97,0
147,Lorengau,PG,1553852631,-2.02,147.27,84.91,92,10.42,64
148,Wundanyi,KE,1553852636,-3.4,38.37,84.01,65,3.98,8
149,Salinas,US,1553852609,36.67,-121.66,51.8,93,3.38,1
150,Mikkeli,FI,1553852405,61.69,27.27,46.0,69,10.29,0
151,Zaozerne,UA,1553852643,51.37,23.94,48.19,78,13.33,32
152,Lasa,CY,1553851940,34.92,32.53,57.2,93,16.11,75
153,Lagoa,PT,1553852533,37.14,-8.45,63.0,55,14.99,0
154,Praia da Vitoria,PT,1553851920,38.73,-27.07,57.99,76,6.78,75
155,Nikolskoye,RU,1553852566,59.7,30.79,48.2,61,8.95,0
156,Laranjeiras do Sul,BR,1553852655,-25.41,-52.42,63.4,82,5.1,0
157,Ocampo,PH,1553852658,13.56,123.37,82.75,72,8.08,0
158,Quezon,PH,1553852662,16.49,121.26,78.97,67,2.37,56
159,Dunedin,NZ,1553852297,-45.87,170.5,59.0,81,15.01,8
160,Ust-Shonosha,RU,1553852669,61.15,41.34,32.8,97,16.35,56
161,Ikalamavony,MG,1553852676,-21.17,46.6,80.86,55,3.49,0
162,Honiara,SB,1553852679,-9.43,159.96,76.18,93,2.53,44
163,Port Hardy,CA,1553850000,50.7,-127.42,35.6,93,3.36,20
164,Wentzville,US,1553852661,38.81,-90.85,55.99,100,5.73,90
165,Nioro,GM,1553852686,13.79,-15.05,77.08,44,13.04,44
166,Puerto Ayora,EC,1553852688,-0.74,-90.35,76.27,99,1.3,0
167,Cayambe,EC,1553850000,0.04,-78.14,57.2,93,4.7,90
168,Nanakuli,US,1553852545,21.39,-158.15,73.4,93,6.93,90
169,Votkinsk,RU,1553851854,57.05,53.99,43.0,47,3.0,0
170,Saint-Francois,FR,1553851840,46.42,3.91,55.99,70,4.7,0
171,Ribeira Grande,PT,1553851800,38.52,-28.7,57.2,62,4.7,40
172,Murdochville,CA,1553852702,48.96,-65.49,35.86,82,9.75,80
173,Manakara,MG,1553852705,-22.14,48.01,77.98,100,5.84,80
174,Goderich,CA,1553852551,43.74,-81.71,36.0,82,4.0,68
175,Roseburg,US,1553852165,43.22,-123.34,46.4,81,2.71,90
176,Bilibino,RU,1553852712,68.06,166.44,-5.01,65,2.26,0
177,Helena,US,1553851900,46.59,-112.04,33.8,86,5.82,90
178,Alice Springs,AU,1553850000,-23.7,133.88,87.8,11,12.75,0
179,Ilulissat,GL,1553849400,69.22,-51.1,8.6,60,29.97,24
180,Arraial do Cabo,BR,1553850000,-22.97,-42.02,77.0,69,5.39,75
181,Xining,CN,1553852724,36.62,101.77,50.8,16,9.08,56
182,Christchurch,NZ,1553852404,-43.53,172.64,61.0,77,14.99,0
183,Acapulco,MX,1553848860,16.86,-99.88,75.2,88,4.7,20
184,Port Blair,IN,1553852731,11.67,92.75,84.01,100,4.61,20
185,Ohara,JP,1553852619,35.12,135.83,60.8,36,5.82,0
186,Mantua,IT,1553852717,45.16,10.79,63.0,44,5.82,0
187,Prieska,ZA,1553852738,-29.67,22.74,84.37,21,4.27,0
188,Kazachinskoye,RU,1553852741,57.69,93.28,38.83,78,2.75,0
189,Maragogi,BR,1553852743,-9.01,-35.22,78.16,92,6.89,88
190,Hasaki,JP,1553852377,35.73,140.83,45.0,70,6.93,75
191,Sitka,US,1553852702,37.17,-99.65,44.01,97,7.0,48
192,Bredasdorp,ZA,1553852712,-34.53,20.04,78.8,54,5.82,20
193,Flinders,AU,1553852645,-34.58,150.85,75.0,83,7.0,75
194,Straumen,NO,1553852717,63.87,11.3,43.0,93,21.92,90
195,Constitucion,MX,1553852415,23.99,-104.67,55.99,30,13.0,0
196,Sirjan,IR,1553852514,29.44,55.67,58.36,54,0.85,0
197,Para de Minas,BR,1553850000,-19.86,-44.61,64.4,82,9.17,0
198,Bathsheba,BB,1553850000,13.22,-59.52,78.8,74,20.8,20
199,Riyadh,SA,1553850000,24.63,46.72,78.8,16,9.17,0
200,Camacari,BR,1553850000,-12.7,-38.32,84.2,74,9.17,40
201,Egvekinot,RU,1553852776,66.32,-179.17,5.71,86,2.26,32
202,Ketchikan,US,1553849760,55.34,-131.65,42.8,80,1.3,1
203,Airai,TL,1553852781,-8.93,125.41,73.84,86,1.19,68
204,Salalah,OM,1553849400,17.01,54.1,86.0,66,13.87,0
205,Kamina,CD,1553852786,-8.74,25.0,78.97,92,4.38,0
206,Hithadhoo,MV,1553852788,-0.6,73.08,84.1,100,5.55,24
207,Ostrovnoy,RU,1553852790,68.05,39.51,37.84,91,21.39,44
208,Jacareacanga,BR,1553852793,-6.22,-57.76,74.38,96,2.08,24
209,Svetlogorsk,RU,1553850000,53.14,59.15,42.8,52,8.95,0
210,Sinnamary,GF,1553852800,5.38,-52.96,80.32,93,12.93,100
211,Nouadhibou,MR,1553850000,20.93,-17.03,66.2,77,14.99,20
212,Winslow,GB,1553852762,51.94,-0.88,55.99,76,6.93,0
213,Luanda,AO,1553852807,-8.83,13.24,80.41,100,5.39,48
214,Chuy,UY,1553852812,-33.69,-53.46,64.75,90,10.54,44
215,Rurrenabaque,BO,1553852817,-14.44,-67.53,67.36,96,2.19,24
216,Wamba,CD,1553852819,2.14,27.99,88.51,59,3.04,0
217,Touros,BR,1553850000,-5.2,-35.46,77.0,94,4.7,75
218,Klaksvik,FO,1553851200,62.23,-6.59,41.0,56,24.16,20
219,Matagami,NG,1553852831,9.67,8.4,88.33,32,4.99,12
220,Konevo,BG,1553852412,41.67,25.61,53.01,37,7.0,0
221,Kazanka,UA,1553850000,47.83,32.83,46.4,31,13.42,75
222,Sorland,NO,1553851200,67.67,12.69,32.0,100,8.05,75
223,Mbekenyera,TZ,1553852843,-10.0,38.98,84.28,69,3.2,64
224,Esperance,TT,1553852797,10.24,-61.45,77.0,100,5.82,40
225,Geghamasar,AM,1553852848,40.31,45.68,33.61,72,4.38,80
226,Nioaque,BR,1553852851,-21.16,-55.83,70.24,94,3.2,0
227,Ambilobe,MG,1553852853,-13.19,49.05,83.11,96,3.49,48
228,Husavik,CA,1553852715,50.56,-96.99,30.0,91,9.91,68
229,Ulundi,ZA,1553852858,-28.29,31.43,75.91,50,5.77,8
230,Aripuana,BR,1553852860,-9.17,-60.63,72.58,98,2.53,92
231,Quatre Cocos,MU,1553852644,-20.21,57.76,86.0,70,8.05,40
232,Baghdad,IQ,1553852865,33.3,44.38,70.96,51,12.1,64
233,Vanimo,PG,1553852867,-2.67,141.3,84.28,96,21.21,12
234,Talnakh,RU,1553852870,69.49,88.39,27.94,95,10.76,88
235,Huambo,AO,1553850000,-12.78,15.73,75.2,73,4.7,40
236,Saint-Joseph,FR,1553852799,43.56,6.97,62.6,33,6.93,0
237,Ambovombe,MG,1553852882,-25.18,46.09,84.64,68,11.25,0
238,Palmer,US,1553852861,61.6,-149.11,39.2,74,6.93,90
239,Pasighat,IN,1553852887,28.06,95.33,77.35,42,1.97,0
240,Ukiah,US,1553852806,39.15,-123.21,48.99,93,2.19,90
241,Ko Samui,TH,1553850000,9.54,99.94,89.6,62,5.82,20
242,Hofn,IS,1553850000,64.25,-15.21,32.0,100,16.11,0
243,Mezen,RU,1553852896,65.85,44.24,34.69,81,13.38,92
244,Kaspiyskiy,RU,1553852898,45.39,47.37,43.96,82,8.12,80
245,Alta Floresta,BR,1553852901,-9.87,-56.08,71.23,98,2.53,92
246,Kudahuvadhoo,MV,1553852905,2.67,72.89,83.65,100,8.75,0
247,Buala,SB,1553852908,-8.15,159.59,83.56,83,8.01,68
248,Akmene,LV,1553851200,56.71,21.38,44.6,87,17.22,12
249,Honningsvag,NO,1553849400,70.98,25.97,32.0,96,20.8,75
250,Sri Aman,MY,1553850000,1.24,111.46,91.4,70,2.24,75
251,Westport,IE,1553852584,53.8,-9.52,53.01,87,9.17,75
252,Ravar,IR,1553852920,31.27,56.81,69.88,13,4.83,0
253,Lompoc,US,1553852575,34.64,-120.46,48.2,93,5.82,1
254,Osa,RU,1553852927,57.28,55.46,37.48,89,3.53,12
255,Pohrebyshche,UA,1553850000,49.49,29.26,41.0,60,6.71,40
256,Tiarei,PF,1553852542,-17.53,-149.33,80.6,78,3.36,40
257,Conceicao do Araguaia,BR,1553852934,-8.26,-49.26,74.2,96,3.38,32
258,Kruisfontein,ZA,1553852936,-34.0,24.73,68.53,81,3.87,8
259,Carnarvon,ZA,1553852939,-30.97,22.13,77.71,22,4.61,0
260,Harper,US,1553852863,30.3,-99.24,62.01,87,10.29,90
261,Namibe,AO,1553850000,-15.19,12.15,80.6,74,4.7,75
262,Nastola,FI,1553852714,60.95,25.93,48.0,65,8.05,0
263,Zeya,RU,1553852951,53.74,127.27,22.63,40,2.48,8
264,Namatanai,PG,1553852955,-3.66,152.44,83.56,96,10.02,32
265,Iqaluit,CA,1553852521,63.75,-68.52,23.0,85,6.93,90
266,Nurota,UZ,1553850000,40.56,65.69,57.2,67,11.41,88
267,Kampot,KH,1553850000,10.62,104.18,89.6,59,9.17,20
268,La Ronge,CA,1553850000,55.1,-105.3,30.2,74,9.17,90
269,Kamenka,RU,1553852967,53.19,44.05,31.63,100,7.56,88
270,Bokovskaya,RU,1553852972,49.23,41.83,39.37,86,11.36,76
271,Suluq,LY,1553852974,31.67,20.25,57.19,75,26.35,92
272,Salaga,GH,1553852977,8.55,-0.52,86.26,74,12.44,0
273,Isla Vista,US,1553852977,34.41,-119.86,52.0,93,5.82,1
274,Pisco,PE,1553850000,-13.71,-76.2,68.0,88,3.36,88
275,Beloha,MG,1553852984,-25.17,45.06,88.51,54,8.08,0
276,Chanute,US,1553852768,37.68,-95.46,62.6,100,4.7,90
277,Rock Springs,US,1553849640,41.59,-109.2,32.0,76,10.29,1
278,Mopipi,BW,1553852991,-21.2,24.86,90.85,25,6.29,0
279,Oranjemund,ZA,1553852993,-28.55,16.43,60.79,91,14.12,0
280,Ardesen,TR,1553850000,41.19,40.99,44.6,87,6.93,75
281,Roblin,CA,1553852998,51.23,-101.35,27.58,81,13.56,80
282,Caloundra,AU,1553852988,-26.8,153.14,77.0,73,9.17,75
283,Bagotville,AU,1553852756,-28.98,153.42,75.2,78,10.29,40
284,Gejiu,CN,1553853007,23.36,103.16,70.06,59,2.82,0
285,Tayoltita,MX,1553853010,24.11,-105.93,62.59,41,2.26,0
286,Saldanha,PT,1553853012,41.42,-6.55,49.54,44,3.38,0
287,Kawhia,NZ,1553853001,-38.07,174.82,68.0,30,16.8,100
288,Kovur,IN,1553853017,14.5,79.99,100.48,33,9.42,8
289,Soc Trang,VN,1553850000,9.6,105.98,93.2,52,2.24,40
290,Laramie,US,1553852994,41.31,-105.59,33.8,100,16.11,90
291,Nurlat,RU,1553853029,54.43,50.8,32.71,96,11.59,92
292,Rundu,NA,1553853031,-17.91,19.77,88.06,39,6.55,20
293,Mollendo,PE,1553853034,-17.03,-72.02,56.92,87,2.48,20
294,Ixtapa,MX,1553853024,20.71,-105.21,66.99,82,5.82,5
295,Kahului,US,1553852744,20.89,-156.47,70.0,82,4.7,20
296,Mount Gambier,AU,1553850000,-37.83,140.78,48.2,76,19.46,75
297,Mugla,BG,1553850000,41.62,24.49,51.8,34,3.36,0
298,Rio Pardo de Minas,BR,1553853045,-15.62,-42.55,66.91,91,8.12,68
299,Ruse,BG,1553850022,43.85,25.95,54.0,45,5.99,0
300,Ofaqim,IL,1553852780,31.31,34.62,66.99,56,8.23,100
301,Atasu,KZ,1553853055,48.68,71.64,49.09,81,17.58,76
302,Kenai,US,1553852824,60.55,-151.26,34.0,97,4.27,1
303,Ararat,AU,1553852798,-37.28,142.93,51.01,66,5.01,0
304,Arnedo,ES,1553852426,42.23,-2.1,57.0,61,5.82,0
305,Tangzhai,CN,1553853064,26.73,109.0,76.45,50,5.28,0
306,Paamiut,GL,1553853066,61.99,-49.67,29.65,98,32.91,76
307,Nerchinskiy Zavod,RU,1553853069,51.31,119.61,22.18,33,4.38,48
308,Vila Velha,BR,1553851691,-3.71,-38.6,73.99,94,4.7,75
309,Raudeberg,NO,1553853002,61.99,5.14,48.2,87,26.4,75
310,Novaya Chigla,RU,1553853076,51.22,40.48,38.38,75,13.11,92
311,Mehamn,NO,1553849400,71.03,27.85,32.0,89,20.8,75
312,Broken Hill,AU,1553850000,-31.97,141.45,73.4,40,27.51,32
313,Necochea,AR,1553852480,-38.55,-58.74,61.0,91,3.0,24
314,Grenaa,DK,1553852753,56.42,10.88,54.0,71,17.22,0
315,Chicaman,GT,1553853092,15.4,-90.73,62.68,100,0.36,80
316,Alofi,NU,1553850000,-19.06,-169.92,75.2,94,18.34,92
317,Katsuura,JP,1553852066,33.93,134.5,55.99,76,16.11,75
318,Bridgewater,US,1553852946,41.99,-70.98,46.0,81,9.17,90
319,Hay River,CA,1553850000,60.82,-115.79,23.0,85,5.82,5
320,Grants Pass,US,1553852832,42.44,-123.33,42.01,93,1.97,75
321,Kholtoson,RU,1553853109,50.3,103.31,27.85,40,6.22,76
322,Kaeo,NZ,1553852285,-35.1,173.78,66.99,83,11.81,88
323,Qingdao,CN,1553850000,36.09,120.35,46.4,81,2.24,90
324,Mujiayingzi,CN,1553853118,42.12,118.78,36.76,53,8.52,80
325,Souillac,FR,1553853035,45.6,-0.6,57.99,54,6.93,0
326,Plettenberg Bay,ZA,1553852842,-34.05,23.37,68.53,95,1.81,8
327,Otradnoye,RU,1553853035,59.77,30.8,48.2,61,8.95,0
328,Saint Paul,US,1553853125,44.95,-93.1,30.99,58,5.82,1
329,Progreso,UY,1553852776,-34.68,-56.22,66.0,88,8.05,0
330,Manta,RO,1553853135,45.1,24.1,49.99,53,5.61,0
331,Nishihara,JP,1553853006,35.74,139.53,48.0,65,9.17,75
332,Fairbanks,US,1553853140,64.84,-147.72,33.8,86,3.36,90
333,Sao Jose da Coroa Grande,BR,1553853142,-8.9,-35.15,78.16,92,6.89,88
334,Bowling Green,US,1553853010,36.99,-86.44,59.0,44,8.05,20
335,Totness,US,1553853104,33.74,-80.8,46.0,100,4.05,1
336,Maun,BW,1553850000,-19.99,23.42,93.2,26,11.41,0
337,Sarkand,KZ,1553853154,45.41,79.91,66.19,74,4.5,8
338,Ushtobe,KZ,1553853156,45.25,77.98,73.12,44,8.01,12
339,Ishim,RU,1553853161,56.11,69.47,34.42,94,9.53,92
340,Sola,NO,1553853002,58.89,5.65,48.0,87,13.87,75
341,Togur,RU,1553853166,58.36,82.83,39.28,80,11.14,68
342,Yaan,NG,1553853168,7.38,8.57,90.31,56,9.75,8
343,Tiksi,RU,1553853171,71.64,128.87,19.66,74,14.56,88
344,Simpang,MY,1553850000,4.82,100.71,89.6,74,11.41,75
345,Kon Tum,VN,1553852890,14.36,108.0,81.49,64,3.87,8
346,Taunggyi,MM,1553853180,20.78,97.03,85.09,28,3.09,0
347,Chilca,PE,1553853050,-13.22,-72.34,48.2,81,0.69,75
348,Lac du Bonnet,CA,1553853015,50.25,-96.06,28.0,91,5.01,64
349,San Juan del Sur,NI,1553853187,11.25,-85.87,77.44,78,20.04,12
350,Pesaro,IT,1553853177,43.91,12.91,57.2,58,5.82,0
351,Inhambane,MZ,1553850000,-23.87,35.38,84.2,62,5.82,20
352,Melito di Porto Salvo,IT,1553853099,37.92,15.77,62.01,48,16.11,0
353,Burayevo,RU,1553853197,55.84,55.41,39.01,90,6.22,0
354,Phrae,TH,1553852718,18.14,100.15,104.0,15,2.24,0
355,Dauphin,CA,1553850000,51.15,-100.04,37.4,59,18.34,90
356,Clyde River,CA,1553852580,70.47,-68.59,-9.41,83,14.99,90
357,Puerto Quijarro,BO,1553853206,-19.0,-57.72,77.08,81,2.75,80
358,Severomuysk,RU,1553853209,56.17,113.57,14.8,69,2.53,68
359,Gandajika,CD,1553853211,-6.75,23.95,78.43,88,11.14,44
360,Merke,KZ,1553853213,42.87,73.19,38.02,90,1.52,8
361,Atar,MR,1553850000,20.52,-13.05,73.4,78,6.93,20
362,Omsukchan,RU,1553853218,62.53,155.8,5.08,77,11.77,56
363,North Bend,US,1553853024,43.41,-124.22,48.0,100,6.93,90
364,Kuna,US,1553853085,43.49,-116.42,41.0,100,4.99,1
365,Fuling,CN,1553853225,29.71,107.39,77.98,48,6.73,0
366,Vestmannaeyjar,IS,1553850000,63.44,-20.27,33.8,64,23.04,20
367,Birao,CF,1553853232,10.3,22.78,91.48,13,14.67,8
368,Abonnema,NG,1553850000,4.71,6.79,86.0,84,2.24,75
369,Mananjary,MG,1553853237,-19.16,46.8,75.01,90,2.19,12
370,Matadi,CD,1553853240,-5.83,13.46,80.41,96,2.53,56
371,Mackay,CA,1553850000,53.65,-115.58,24.8,92,4.7,1
372,Soyo,AO,1553850000,-6.13,12.37,84.2,70,6.93,75
373,Pozzallo,IT,1553853230,44.81,9.34,60.8,51,14.99,0
374,Tari,NG,1553853249,12.41,4.49,94.27,19,13.94,0
